#	PLAYER	TEAM	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	EFF
103	Clint Capela	ATL	46	26.8	12.0	5.4	8.7	62.7	0.0	0.0	0.0	1.1	1.9	59.1	4.2	7.0	11.3	0.9	0.7	1.3	0.8	21.3
104	Kenyon Martin Jr.	HOU	62	26.7	12.0	4.7	8.4	56.1	0.9	2.7	31.7	1.7	2.5	65.8	1.5	4.1	5.6	1.5	0.5	0.4	1.1	14.3
105	Marcus Morris Sr.	LAC	56	28.6	12.0	4.5	10.4	43.0	1.9	5.1	37.1	1.2	1.5	78.6	0.4	3.7	4.1	1.8	0.7	0.4	0.9	11.8
106	Kelly Olynyk	UTA	51	28.2	12.0	3.9	8.0	49.0	1.4	3.6	40.1	2.7	3.2	82.9	1.3	4.2	5.5	3.2	1.0	0.6	2.2	15.3
107	Bones Hyland	LAC	45	19.3	11.8	4.0	10.1	39.8	2.1	5.6	38.0	1.7	2.0	85.4	0.3	1.8	2.1	2.9	0.7	0.3	1.6	9.9
108	Derrick White	BOS	63	27.7	11.8	4.1	9.0	45.5	1.8	4.6	38.1	1.9	2.2	86.4	0.6	2.7	3.3	3.8	0.7	0.9	1.1	14.3
109	Mason Plumlee	LAC	61	27.8	11.8	4.5	6.7	67.6	0.0	0.0	0.0	2.8	4.5	61.9	3.2	6.3	9.5	3.5	0.6	0.6	1.6	20.7
110	Jabari Smith Jr.	HOU	59	30.0	11.8	4.2	10.8	38.3	1.5	5.2	29.1	1.9	2.5	78.8	1.3	5.7	7.1	1.2	0.5	1.0	1.4	12.8
111	Caris LeVert	CLE	59	30.0	11.6	4.2	10.1	41.1	1.5	4.2	35.5	1.7	2.4	72.0	0.7	3.2	3.9	4.0	0.8	0.2	1.6	12.2
112	Jaden McDaniels	MIN	61	30.6	11.6	4.5	8.7	52.0	1.3	3.3	38.5	1.2	1.7	73.8	1.2	2.7	3.9	2.0	1.0	1.0	1.4	13.4
113	Kentavious Caldwell-Pope	DEN	60	31.4	11.5	4.1	8.5	48.1	1.9	4.3	45.1	1.4	1.6	83.7	0.5	2.4	2.9	2.4	1.4	0.5	1.2	12.7
114	Marcus Smart	BOS	46	32.4	11.4	4.1	9.6	42.2	1.8	5.3	33.3	1.5	2.0	76.7	0.7	2.7	3.4	6.7	1.4	0.4	2.3	15.0
115	Isaiah Stewart	DET	50	28.3	11.3	3.9	8.8	44.2	1.3	4.1	32.7	2.2	3.0	73.8	2.3	5.8	8.1	1.4	0.4	0.7	1.4	14.8
116	Josh Richardson	NOP	48	24.1	11.2	4.1	9.3	44.2	1.7	4.8	35.2	1.3	1.5	86.1	0.6	2.1	2.8	3.1	1.2	0.3	1.5	11.7
117	Cam Thomas	BKN	45	17.4	11.2	3.7	8.2	44.6	0.9	2.3	39.4	3.0	3.5	85.4	0.2	1.6	1.7	1.6	0.4	0.1	1.1	8.9
118	Bruce Brown	DEN	62	28.6	11.1	4.4	9.0	48.7	1.3	3.5	38.3	1.0	1.5	72.2	0.7	3.2	3.9	3.5	1.0	0.6	1.6	13.6
119	Thomas Bryant	DEN	48	20.2	11.0	4.4	6.8	63.7	0.5	1.1	43.1	1.9	2.6	73.2	1.6	4.9	6.5	0.6	0.3	0.6	0.7	15.1
120	Austin Reaves	LAL	45	27.6	10.9	3.5	6.8	51.3	1.3	3.3	38.9	2.7	3.1	87.7	0.6	2.3	2.9	2.4	0.6	0.4	1.4	12.0
121	Jaylen Nowell	MIN	62	19.5	10.9	4.3	9.7	44.6	1.1	3.6	29.3	1.2	1.6	78.4	0.5	2.1	2.6	2.0	0.6	0.1	1.0	9.6
122	Naz Reid	MIN	56	18.1	10.7	4.3	8.0	53.1	1.0	3.1	32.8	1.1	1.7	66.0	1.2	3.7	4.9	1.1	0.6	0.9	1.3	12.5
122	Reggie Jackson	DEN	56	25.3	10.7	4.0	9.8	41.2	1.5	4.3	34.7	1.1	1.3	91.4	0.4	1.8	2.2	3.6	0.8	0.1	1.8	9.7
124	Grayson Allen	MIL	58	27.6	10.5	3.4	7.7	44.2	2.0	5.0	40.5	1.7	1.8	89.7	0.9	2.4	3.4	2.4	0.8	0.2	1.1	11.7
125	Mike Conley	MIN	49	29.8	10.4	3.5	8.7	40.3	1.8	5.0	36.2	1.7	2.1	81.2	0.4	2.1	2.5	7.4	1.1	0.2	1.7	14.5
126	Monte Morris	WAS	51	28.1	10.4	4.0	8.2	48.3	1.4	3.3	40.6	1.1	1.3	80.6	0.4	3.0	3.4	5.3	0.7	0.2	1.0	14.4
127	De'Anthony Melton	PHI	58	28.2	10.3	3.7	8.7	42.3	2.1	5.3	39.8	0.8	1.1	79.0	0.9	3.1	4.1	2.6	1.7	0.6	1.4	12.6
128	Jeremy Sochan	SAS	50	26.0	10.3	4.1	9.3	44.7	0.6	2.2	26.1	1.4	2.1	68.9	1.7	3.3	5.0	2.6	0.7	0.4	1.7	11.5
129	Ivica Zubac	LAC	60	29.4	10.2	4.0	6.5	61.9	0.0	0.0	0.0	2.2	3.1	70.3	3.3	6.8	10.1	1.1	0.4	1.3	1.7	18.0
130	Patrick Williams	CHI	63	28.8	10.1	3.8	8.3	46.2	1.4	3.4	41.3	1.1	1.3	86.6	1.0	3.3	4.3	1.3	0.8	0.8	1.3	11.5
131	Brandon Clarke	MEM	55	19.8	10.1	4.2	6.3	65.8	0.0	0.1	16.7	1.8	2.5	72.6	1.7	4.0	5.6	1.3	0.6	0.7	1.0	14.5
132	Zach Collins	SAS	51	21.5	10.1	3.9	7.6	51.7	0.6	1.8	34.4	1.6	2.2	74.5	1.8	4.2	6.0	2.7	0.5	0.6	1.9	13.8
133	Seth Curry	BKN	44	22.0	10.1	3.8	8.1	46.5	1.8	4.3	41.3	0.8	0.8	97.2	0.3	1.6	1.8	2.0	0.6	0.2	1.0	9.3
134	Quentin Grimes	NYK	53	29.6	10.1	3.6	8.0	45.0	1.9	5.2	36.1	1.1	1.3	80.0	0.8	2.5	3.3	1.9	0.6	0.4	1.0	10.7
135	Caleb Martin	MIA	53	30.0	10.0	3.7	8.2	45.1	1.3	3.6	36.3	1.2	1.6	77.4	1.3	3.7	5.1	1.6	1.0	0.5	1.1	12.1
136	Doug McDermott	SAS	54	20.6	9.9	3.7	8.0	46.1	1.9	4.5	41.4	0.7	0.9	74.5	0.3	1.9	2.2	1.4	0.2	0.1	0.9	8.3
137	Jalen McDaniels	PHI	63	25.4	9.9	3.7	8.2	44.5	1.1	3.3	32.4	1.5	1.8	83.5	0.8	3.8	4.7	1.9	1.1	0.5	1.3	11.9
138	Bol Bol	ORL	58	22.7	9.9	4.1	7.1	57.5	0.5	1.5	31.5	1.2	1.6	74.5	1.1	4.9	6.0	0.8	0.4	1.3	1.7	13.3
138	Josh Hart	NYK	58	32.6	9.9	3.7	7.2	51.8	0.8	2.3	34.8	1.7	2.3	73.1	1.8	6.0	7.8	3.9	1.1	0.2	1.5	17.3
140	Aaron Nesmith	IND	56	24.5	9.8	3.4	8.0	42.1	1.5	4.2	35.2	1.6	1.8	86.4	0.8	2.9	3.7	1.2	0.8	0.4	0.9	10.1
141	Tyus Jones	MEM	61	22.8	9.7	3.7	8.5	43.1	1.5	3.9	37.6	1.0	1.2	80.6	0.4	1.8	2.2	4.5	1.0	0.1	0.9	11.5
142	Al Horford	BOS	49	30.8	9.7	3.6	7.5	48.1	2.2	5.0	44.0	0.3	0.4	73.7	1.2	5.0	6.2	2.7	0.5	0.9	0.6	15.3
143	Gabe Vincent	MIA	49	26.3	9.7	3.4	8.7	39.1	1.7	5.4	31.8	1.2	1.3	87.7	0.4	1.9	2.3	2.5	0.9	0.1	1.4	8.5
144	Chris Boucher	TOR	57	20.6	9.7	3.5	7.1	49.0	0.8	2.6	32.4	1.8	2.5	73.9	2.2	3.6	5.8	0.4	0.7	0.8	0.5	12.6
145	Killian Hayes	DET	59	27.0	9.5	3.8	10.2	37.2	1.2	3.8	30.0	0.8	1.0	81.7	0.3	2.4	2.7	5.9	1.4	0.4	2.0	11.3
146	Naji Marshall	NOP	58	24.7	9.5	3.3	7.8	42.9	0.9	3.1	30.9	1.9	2.4	77.7	0.7	3.0	3.7	2.5	0.8	0.2	1.2	10.6
147	Donte DiVincenzo	GSW	52	25.8	9.5	3.3	7.4	44.4	2.2	5.2	42.4	0.7	0.8	81.8	0.9	3.3	4.2	3.3	1.3	0.1	1.5	12.7
148	Herbert Jones	NOP	47	28.7	9.4	3.3	7.6	44.0	0.7	2.5	28.6	2.0	2.6	74.8	1.4	2.5	3.9	2.1	1.6	0.7	1.3	11.5
149	Malaki Branham	SAS	48	22.4	9.4	3.7	8.3	44.5	1.1	3.7	31.3	0.8	1.0	79.2	0.4	1.8	2.2	2.0	0.5	0.1	1.1	8.3
150	Santi Aldama	MEM	58	21.9	9.3	3.3	7.0	47.7	1.3	3.7	36.3	1.3	1.8	72.9	1.0	3.6	4.6	1.2	0.7	0.7	0.7	11.7
151	Corey Kispert	WAS	53	26.9	9.3	3.2	6.8	47.5	1.8	4.5	41.2	1.0	1.1	86.4	0.4	2.3	2.7	1.2	0.6	0.1	0.7	9.5
